name,current_price,price_change_percentage_24h,market_cap,total_volume
Bitcoin,62201.75329573787,1.40529934,1229314585585.048,25590068926.520847
Ethereum,2418.4481936233406,1.6482574,291121301775.1739,12735868575.049103
Tether USDt,1.0000267787072534,0.01724431,119645193745.31947,45737637264.049545
Solana,143.8171673183505,2.97419941,67392422920.38167,2075050420.5988004
USDC,1.0000277573544474,-0.00198415,35524217347.61296,5165453827.713417
BNB,561.8268244979606,1.61658046,33069121265.857967,1541801194.8304904
XRP,0.5317874059396898,1.56824859,30080044058.525856,1114705923.6223085
Dogecoin,0.10935339119062241,1.41878347,15991746581.880013,581903258.1293428
Toncoin,5.374579200385739,0.2514982,13625952777.427694,146543409.70555997
TRON,0.1540567543789024,-2.14071662,13339297137.796932,260006803.00394064
Cardano,0.3533941002436553,0.45509522,12353390700.155127,204577119.03412578
Avalanche,25.94418360454175,1.55749347,10544830541.232971,293391511.3772737
Shiba Inu,1.7679933127059537e-05,2.67000631,10418209295.05559,473364896.7914354
Chainlink,11.322015692750394,3.30955616,7097205202.466572,229609456.90998474
Bitcoin Cash,323.84266580694134,0.97780535,6402378611.078206,161862243.27352628
Polkadot,4.198345714860112,1.00960387,6303751265.110073,121132036.5328333
NEAR Protocol,4.789635445529913,2.24146701,5810119762.025273,236289393.898482
UNUS SED LEO,5.900008444908631,0.05228467,5459325007.651506,280085.07974077
Dai,0.9999412869836034,0.00061744,5365067684.862277,65204169.88583633
Litecoin,65.50094104064364,1.86372012,4915764948.667913,192498539.1442035
Sui,1.705377703302703,-2.06900701,4713393452.3127365,787906109.7112808
Aptos,8.935131393948973,0.96304361,4491541492.432575,286722195.22718996
Bittensor,584.6794661212396,12.55428212,4315481719.955037,208221053.78410304
Uniswap,6.756466137442048,0.951365,4055871108.361068,102009802.40260985
Pepe,9.435940777881025e-06,4.55584329,3969604982.2526417,901075925.3662308
Internet Computer,8.246967661592485,1.05877095,3889491257.623766,56691316.33414672
Kaspa,0.1506085908852917,1.19022921,3742200898.931027,28901471.16527788
Artificial Superintelligence Alliance,1.4630597218952277,5.11016971,3686910499.175974,194266665.01942292
Render,5.730971902275645,3.83458661,2966870462.9427586,291059516.83650875
POL (ex-MATIC),0.38417767294696914,1.61643216,2904843425.3012857,72673425.60068734
Monero,152.35301033391207,4.52033762,2810416990.4889026,51501055.77534465
Ethereum Classic,18.66413134753199,0.97254787,2781203199.762219,90835504.21037845
Stellar,0.09233160394572444,1.82246367,2740320793.8758307,44815294.94684216
Stacks,1.8239927645569312,-3.32875398,2721314637.433796,160375006.53566048
First Digital USD,0.999224461494093,0.03069709,2614306514.380722,4305258514.143415
OKB,41.74011710802792,0.87607666,2504407026.481675,1629712.22563516
Immutable,1.5447718198870264,1.69887161,2479821324.091652,39507612.1922381
dogwifhat,2.3321213450651737,8.13791335,2329428652.4391727,574728939.597817
Aave,150.29711486181557,1.71336258,2247101931.5178227,189843259.11968666
Filecoin,3.6590086109045634,1.55407709,2161995633.4196267,88727016.47706209
Cronos,0.08086709359006854,1.57560731,2148764885.6376185,4508577.20235156
Optimism,1.626811186828524,4.77235983,2041762715.0171683,126627412.87256487
Hedera,0.05385018650100742,2.96694435,2027603847.291356,45983842.59398527
Arbitrum,0.5587313974377625,1.22815197,2020980807.2195573,175325222.1480414
Injective,20.335034660725,3.06299622,1986692662.840872,76352295.77947569
Mantle,0.5938731336292793,2.11409927,1940089522.1038911,59955664.33091722
VeChain,0.02291755496938386,2.01016474,1855979132.871713,14159567.64320217
Cosmos,4.694714685309499,4.73846349,1835324548.5085795,78513947.17366642
Fantom,0.6308684425147657,1.64024084,1768724742.0688028,217915621.94716722
THORChain,4.796139175741569,2.07152345,1614830799.227075,117704587.68463458
The Graph,0.1618447261444342,4.28681577,1545379467.182387,42935370.55914197
Bonk,2.1397505729619632e-05,0.83585227,1524506628.4433718,256895159.5721885
Bitget Token,1.045215989245215,4.46879047,1463302384.9433012,38637487.60035721
Sei,0.40727721504233,-0.78238136,1435595616.6990933,196881698.57686505
Theta Network,1.3054941614602855,4.26323448,1305494161.4602854,17948612.70234935
FLOKI,0.00013557773544175533,1.38989602,1300861710.336956,171415028.19821474
Maker,1455.9379172193549,0.55948237,1277642764.9449866,32855291.01152523
Arweave,18.801508172413246,2.0766636,1234365376.0380828,38432884.13985745
Pyth Network,0.3352690132206289,6.1532617,1215346413.3651035,42110412.81000092
Popcat (SOL),1.239875695985187,25.46961298,1215044934.3027453,188448941.8273114
Helium,7.127086493239157,-0.12055515,1214969630.200668,8552047.5301987
MANTRA,1.370581609795234,8.51336697,1164272490.8485982,33362490.7558374
Celestia,5.111084398460802,-0.61667981,1100645946.4766603,93994235.86956881
Jupiter,0.784434721334385,2.30491037,1058986873.8014197,55841905.80403556
Algorand,0.1263964413464162,2.78990766,1046911055.8474119,25995011.73659721
Polygon,0.3841881877989877,1.55839339,1038400889.4508587,34540876.19573531
Ondo,0.7141728180222545,4.07094278,992528700.2202439,472187899.449238
JasmyCoin,0.019933775332515506,2.33626924,984628826.1143743,46528957.15082937
Lido DAO,1.0697344666159154,5.97591384,957712762.4121908,72642653.94725788
KuCoin Token,7.7751905062477595,1.53788492,936187138.9410472,569759.14250178
Worldcoin,1.8595838826683515,12.88321662,933765561.0245246,179603228.55962506
Bitcoin SV,45.98367141354466,1.86407425,908904914.61968,25597198.07269263
BitTorrent [New],9.241478637480225e-07,2.28391069,894802868.5455419,19212841.06892837
Wormhole,0.3421732838991892,8.04531399,882079473.1359853,249231784.543737
Quant,70.84252737295004,2.58759971,855263272.2314541,11613419.62202691
Core,0.9209812418001682,3.06103076,841274082.29991,27670429.86423033
Flow,0.5450838647457755,1.42653579,837296090.3966124,20762819.23771442
Brett (Based),0.0836349842066316,2.32293687,828842464.3798107,28114456.70230773
Ethena,0.30040819095530763,4.53337882,825183749.5303607,89126490.37576014
Beam,0.01637019709363703,-0.01740039,809768237.6648309,31483305.5364053
FTX Token,2.4624327847386374,3.76597095,809882086.3696585,89615548.40534271
Conflux,0.17368942919659486,7.57552683,785972808.8230318,72635733.26093514
GateToken,8.583307310304072,0.67343441,781056285.4040606,2968282.40756366
Notcoin,0.007467188426899238,0.9121727,765195822.0337367,90512992.15356308
Flare,0.015757284158485922,1.16269616,763141976.3598926,5859531.18102403
Starknet,0.38890314298300643,2.9735235,754326814.4510052,52218436.37213057
USDD,0.997917670029438,-0.10331062,734361519.3028717,2441784.90260119
PayPal USD,0.9998441427499168,0.01677548,728976872.4118154,15904366.89486592
EOS,0.47645424258140007,1.35545601,723710262.2789813,47863924.54965867
ORDI,33.683739011149946,2.520412,707358519.2341489,99624007.16337869
eCash,3.5713418031187616e-05,2.74760243,705922190.117449,22213959.12850223
Axie Infinity,4.637520000904664,0.83547949,704788863.2197475,26201918.93595986
Neo,9.973638454213466,2.50194125,703528797.3768649,21996021.20684775
Nervos Network,0.015547667647681987,2.89283134,700718598.3652709,43168965.11911148
Gala,0.019909136176079142,2.28334089,694679591.5031594,58909473.95292895
MultiversX,25.34978593139625,2.22834442,694247828.8391491,11249578.64173582
Tezos,0.6650425635553292,3.86773172,668103234.4788573,11780667.07715474
Tether Gold,2653.223609324837,-0.21133095,654083297.0651962,3754288.84471282
EigenLayer,3.405115855714631,-0.16729472,635333326.5909473,215810263.72071174
Akash Network,2.547655961249067,3.27902834,632546784.8619176,5677586.10120087